dipt_id,nombre_listado,nombre_ficha,entidad,distrito_circunscripcion,principio_estimado,principio_ficha,entidad_ficha,distrito_ficha,curul,partido_estimado,email,suplente,licencia_en_listado,perfil_url,foto_src,partido_logo_src,foto_original_local,foto_png_bn,error_perfil
139,Anaya Martínez Josefina,JOSEFINA ANAYA MARTÍNEZ,México,Dtto. 15,Mayoria Relativa,Mayoría Relativa,México,15,J-362,MORENA,josefina.anaya@diputados.gob.mx,Rosa Carmen Alvarado Bello,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=139,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/044_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/011_139_anaya_martinez_josefina.png,static/img/diputados_lxvi_bn/011_139_anaya_martinez_josefina.png,
176,Anaya Villegas Sandra,SANDRA ANAYA VILLEGAS,Morelos,Dtto. 1,Mayoria Relativa,Mayoría Relativa,Morelos,1,F-181,MORENA,sandra.anaya@diputados.gob.mx,Noemí Anaya Villegas,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=176,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/096_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/012_176_anaya_villegas_sandra.png,static/img/diputados_lxvi_bn/012_176_anaya_villegas_sandra.png,
98,Andrade Zurutuza Daniel,DANIEL ANDRADE ZURUTUZA,Hidalgo,Dtto. 1,Mayoria Relativa,Mayoría Relativa,Hidalgo,1,L-448,MORENA,daniel.andrade@diputados.gob.mx,David Francisco Hernández,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=98,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/198_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/013_98_andrade_zurutuza_daniel.png,static/img/diputados_lxvi_bn/013_98_andrade_zurutuza_daniel.png,
202,Antonio Altamirano Carol,CAROL ANTONIO ALTAMIRANO,Oaxaca,Dtto. 5,Mayoria Relativa,Mayoría Relativa,Oaxaca,5,K-393,MORENA,carol.antonio@diputados.gob.mx,Oskar Uriel Pérez González,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=202,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/433_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/014_202_antonio_altamirano_carol.png,static/img/diputados_lxvi_bn/014_202_antonio_altamirano_carol.png,
313,Arellano Ávila Giselle Yunueen,GISELLE YUNUEEN ARELLANO ÁVILA,Jalisco,Circ. 1,Representacion Proporcional,Representación proporcional,,,J-370,MORENA,giselle.arellano@diputados.gob.mx,Yolanda Ávila Saucedo,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=313,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/423_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/015_313_arellano_avila_giselle_yunueen.png,static/img/diputados_lxvi_bn/015_313_arellano_avila_giselle_yunueen.png,
383,Armendáriz Guerra Carmen Patricia,CARMEN PATRICIA ARMENDÁRIZ GUERRA,Chiapas,Circ. 3,Representacion Proporcional,Representación proporcional,,,K-400,MORENA,carmen.armendariz@diputados.gob.mx,Angélica Ivonne Cisneros Luján,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=383,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/143_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/016_383_armendariz_guerra_carmen_patricia.png,static/img/diputados_lxvi_bn/016_383_armendariz_guerra_carmen_patricia.png,
274,Armenta Oliveros Magaly,MAGALY ARMENTA OLIVEROS,Veracruz,Dtto. 3,Mayoria Relativa,Mayoría Relativa,Veracruz,3,C-074,MORENA,magaly.armenta@diputados.gob.mx,Deisy Juan Antonio,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=274,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/469_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/017_274_armenta_oliveros_magaly.png,static/img/diputados_lxvi_bn/017_274_armenta_oliveros_magaly.png,
122,Arreola Lopez Haidyd,HAIDYD ARREOLA LOPEZ,Jalisco,Dtto. 18,Mayoria Relativa,Mayoría Relativa,Jalisco,18,J-368,MORENA,haidyd.arreola@diputados.gob.mx,Arantxa Minerva Arias Mendoza,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=122,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/086_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/018_122_arreola_lopez_haidyd.png,static/img/diputados_lxvi_bn/018_122_arreola_lopez_haidyd.png,
23,Arreola Trinidad Azucena,AZUCENA ARREOLA TRINIDAD,Chiapas,Dtto. 7,Mayoria Relativa,Mayoría Relativa,Chiapas,7,L-440,MORENA,azucena.arreola@diputados.gob.mx,Macaria García Landa,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=23,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/156_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/019_23_arreola_trinidad_azucena.png,static/img/diputados_lxvi_bn/019_23_arreola_trinidad_azucena.png,
135,Arzola Vargas Xóchitl Teresa,XÓCHITL TERESA ARZOLA VARGAS,México,Dtto. 11,Mayoria Relativa,Mayoría Relativa,México,11,J-361,MORENA,xochitl.arzola@diputados.gob.mx,María Guadalupe Campillo Martínez,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=135,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/060_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/020_135_arzola_vargas_xochitl_teresa.png,static/img/diputados_lxvi_bn/020_135_arzola_vargas_xochitl_teresa.png,
428,Asaf Manjarrez Daniel,DANIEL ASAF MANJARREZ,Ciudad de México,Circ. 4,Representacion Proporcional,Representación proporcional,,,G-224,MORENA,daniel.asaf@diputados.gob.mx,José Gonzalo Espina Miranda,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=428,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/431_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/021_428_asaf_manjarrez_daniel.png,static/img/diputados_lxvi_bn/021_428_asaf_manjarrez_daniel.png,
343,Ávila Anaya Arturo,ARTURO ÁVILA ANAYA,Aguascalientes,Circ. 2,Representacion Proporcional,Representación proporcional,,,I-310,MORENA,francisco.avila@diputados.gob.mx,Uriel Kislev Oliva Núñez,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=343,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/210_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/022_343_avila_anaya_arturo.png,static/img/diputados_lxvi_bn/022_343_avila_anaya_arturo.png,
810,Ávila Flores Claudia Selene,CLAUDIA SELENE ÁVILA FLORES,Jalisco,Circ. 1,Representacion Proporcional,Representación proporcional,,,M-477,MORENA,claudia.avila@diputados.gob.mx,,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=810,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/510_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/023_810_avila_flores_claudia_selene.png,static/img/diputados_lxvi_bn/023_810_avila_flores_claudia_selene.png,
233,Ávila Vera Mildred Concepción,MILDRED CONCEPCIÓN ÁVILA VERA,Quintana Roo,Dtto. 4,Mayoria Relativa,Mayoría Relativa,Quintana Roo,4,D-105,MORENA,mildred.avila@diputados.gob.mx,Adriana del Rosario Chan Canul,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=233,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/173_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/024_233_avila_vera_mildred_concepcion.png,static/img/diputados_lxvi_bn/024_233_avila_vera_mildred_concepcion.png,
149,Avilés Domínguez Leide,LEIDE AVILÉS DOMÍNGUEZ,México,Dtto. 25,Mayoria Relativa,Mayoría Relativa,México,25,I-323,MORENA,leide.aviles@diputados.gob.mx,María Guadalupe Aparicio Balbuena,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=149,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/050_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/025_149_aviles_dominguez_leide.png,static/img/diputados_lxvi_bn/025_149_aviles_dominguez_leide.png,
242,Ayala Leyva Ana Elizabeth,ANA ELIZABETH AYALA LEYVA,Sinaloa,Dtto. 2,Mayoria Relativa,Mayoría Relativa,Sinaloa,2,C-066,MORENA,ana.ayala@diputados.gob.mx,María Yazmín Meza Ayala,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=242,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/074_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/026_242_ayala_leyva_ana_elizabeth.png,static/img/diputados_lxvi_bn/026_242_ayala_leyva_ana_elizabeth.png,
248,Baldenebro Arredondo Manuel de Jesús,MANUEL DE JESÚS BALDENEBRO ARREDONDO,Sonora,Dtto. 1,Mayoria Relativa,Mayoría Relativa,Sonora,1,C-067,MORENA,manuel.baldenebro@diputados.gob.mx,Ernesto Roger Munro Jr.,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=248,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/033_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/027_248_baldenebro_arredondo_manuel_de_jesus.png,static/img/diputados_lxvi_bn/027_248_baldenebro_arredondo_manuel_de_jesus.png,
291,Barrera Puc Rocío Natalí,ROCÍO NATALÍ BARRERA PUC,Yucatán,Dtto. 1,Mayoria Relativa,Mayoría Relativa,Yucatán,1,A-014,MORENA,natali.barrera@diputados.gob.mx,Lidia Noh Torres,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=291,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/189_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/028_291_barrera_puc_rocio_natali.png,static/img/diputados_lxvi_bn/028_291_barrera_puc_rocio_natali.png,
177,Barrera Vázquez Ariadna,ARIADNA BARRERA VÁZQUEZ,Morelos,Dtto. 2,Mayoria Relativa,Mayoría Relativa,Morelos,2,F-179,MORENA,ariadna.barrera@diputados.gob.mx,Lizzeth Torres Manjarrez,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=177,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/110_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/029_177_barrera_vazquez_ariadna.png,static/img/diputados_lxvi_bn/029_177_barrera_vazquez_ariadna.png,
16,Basto González Gabriela del Carmen,GABRIELA DEL CARMEN BASTO GONZÁLEZ,Campeche,Dtto. 2,Mayoria Relativa,Mayoría Relativa,Campeche,2,M-493,MORENA,gabriela.basto@diputados.gob.mx,María Jesús Estela Díaz Montes de Oca,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=16,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/022_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/030_16_basto_gonzalez_gabriela_del_carmen.png,static/img/diputados_lxvi_bn/030_16_basto_gonzalez_gabriela_del_carmen.png,
155,Bautista Bravo Juan Angel,JUAN ANGEL BAUTISTA BRAVO,México,Dtto. 31,Mayoria Relativa,Mayoría Relativa,México,31,I-326,MORENA,juan.bautista@diputados.gob.mx,José Guadalupe González Vargas,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=155,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/062_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/031_155_bautista_bravo_juan_angel.png,static/img/diputados_lxvi_bn/031_155_bautista_bravo_juan_angel.png,
206,Bautista Peláez María del Carmen,MARÍA DEL CARMEN BAUTISTA PELÁEZ,Oaxaca,Dtto. 9,Mayoria Relativa,Mayoría Relativa,Oaxaca,9,K-392,MORENA,maria.bautista@diputados.gob.mx,Saraí Castellanos Guzmán,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=206,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/124_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/032_206_bautista_pelaez_maria_del_carmen.png,static/img/diputados_lxvi_bn/032_206_bautista_pelaez_maria_del_carmen.png,
132,Beltrán Reyes Anay,ANAY BELTRÁN REYES,México,Dtto. 8,Mayoria Relativa,Mayoría Relativa,México,8,I-327,MORENA,anay.beltran@diputados.gob.mx,Yessica Juárez García,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=132,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/065_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/033_132_beltran_reyes_anay.png,static/img/diputados_lxvi_bn/033_132_beltran_reyes_anay.png,
475,Benítez Estrada Rufina,RUFINA BENÍTEZ ESTRADA,Querétaro,Circ. 5,Representacion Proporcional,Representación proporcional,,,D-102,MORENA,rufina.benitez@diputados.gob.mx,--- --- ---,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=475,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/264_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/034_475_benitez_estrada_rufina.png,static/img/diputados_lxvi_bn/034_475_benitez_estrada_rufina.png,
471,Benítez Tiburcio Mariana,MARIANA BENÍTEZ TIBURCIO,Oaxaca,Circ. 5,Representacion Proporcional,Representación proporcional,,,G-214,MORENA,mariana.benitez@diputados.gob.mx,Susana Cano González,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=471,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/320_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/035_471_benitez_tiburcio_mariana.png,static/img/diputados_lxvi_bn/035_471_benitez_tiburcio_mariana.png,
109,Blancas Mercado Bruno,BRUNO BLANCAS MERCADO,Jalisco,Dtto. 5,Mayoria Relativa,Mayoría Relativa,Jalisco,5,K-416,MORENA,bruno.blancas@diputados.gob.mx,Luis Fernando Torres Jiménez,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=109,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/047_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/036_109_blancas_mercado_bruno.png,static/img/diputados_lxvi_bn/036_109_blancas_mercado_bruno.png,
422,Blanco Bravo Cuauhtémoc,CUAUHTÉMOC BLANCO BRAVO,Ciudad de México,Circ. 4,Representacion Proporcional,Representación proporcional,,,F-180,MORENA,cuauhtemoc.blanco@diputados.gob.mx,Sebastián Ramírez Mendoza,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=422,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/305_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/037_422_blanco_bravo_cuauhtemoc.png,static/img/diputados_lxvi_bn/037_422_blanco_bravo_cuauhtemoc.png,
62,Borrego Adame Francisco Javier,FRANCISCO JAVIER BORREGO ADAME,Coahuila,Dtto. 2,Mayoria Relativa,Mayoría Relativa,Coahuila,2,M-490,MORENA,francisco.borrego@diputados.gob.mx,Silverio Alejandro Hernández Machado,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=62,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/055_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/038_62_borrego_adame_francisco_javier.png,static/img/diputados_lxvi_bn/038_62_borrego_adame_francisco_javier.png,
293,Brito Zapata Óscar Iván,ÓSCAR IVÁN BRITO ZAPATA,Yucatán,Dtto. 3,Mayoria Relativa,Mayoría Relativa,Yucatán,3,A-015,MORENA,oscar.brito@diputados.gob.mx,José Canto Tamayo,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=293,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/145_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/039_293_brito_zapata_oscar_ivan.png,static/img/diputados_lxvi_bn/039_293_brito_zapata_oscar_ivan.png,
12,Brown Figueredo Hilda Araceli,HILDA ARACELI BROWN FIGUEREDO,Baja California,Dtto. 9,Mayoria Relativa,Mayoría Relativa,Baja California,9,M-499,MORENA,hilda.brown@diputados.gob.mx,Kenia Abigail Zamudio Aguayo,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=12,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/010_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/040_12_brown_figueredo_hilda_araceli.png,static/img/diputados_lxvi_bn/040_12_brown_figueredo_hilda_araceli.png,
157,Burgos Hernández Anais Miriam,ANAIS MIRIAM BURGOS HERNÁNDEZ,México,Dtto. 33,Mayoria Relativa,Mayoría Relativa,México,33,I-324,MORENA,anais.burgos@diputados.gob.mx,María Guadalupe de la Rosa León,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=157,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/070_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/041_157_burgos_hernandez_anais_miriam.png,static/img/diputados_lxvi_bn/041_157_burgos_hernandez_anais_miriam.png,
392,Caamal Cocom Venustiano,VENUSTIANO CAAMAL COCOM,Yucatán,Circ. 3,Representacion Proporcional,Representación proporcional,,,A-013,MORENA,venustiano.caamal@diputados.gob.mx,Eleazar Ortiz Ramírez,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=392,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/256_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/042_392_caamal_cocom_venustiano.png,static/img/diputados_lxvi_bn/042_392_caamal_cocom_venustiano.png,
314,Cabada Alvidrez Hector Armando,HECTOR ARMANDO CABADA ALVIDREZ,Chihuahua,Circ. 1,Representacion Proporcional,Representación proporcional,,,M-494,MORENA,hector.cabada@diputados.gob.mx,César Christopher Alberto Jiménez López,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=314,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/238_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/043_314_cabada_alvidrez_hector_armando.png,static/img/diputados_lxvi_bn/043_314_cabada_alvidrez_hector_armando.png,
393,Calcaneo Constantino Karen Yaiti,KAREN YAITI CALCANEO CONSTANTINO,Chiapas,Circ. 3,Representacion Proporcional,Representación proporcional,,,M-481,MORENA,karen.calcaneo@diputados.gob.mx,Mónica Alejandra Gómez Torres,False,https://sitl.diputados.gob.mx/LXVI_leg/curricula.php?dipt=393,https://sitl.diputados.gob.mx/LXVI_leg/fotos_lxviconfondo/418_foto_chica.jpg,https://sitl.diputados.gob.mx/LXVI_leg/images/morena.webp,static/img/diputados_lxvi_raw/044_393_calcaneo_constantino_karen_yaiti.png,static/img/diputados_lxvi_bn/044_393_calcaneo_constantino_karen_yaiti.png,
